Boston Bruins,Massachusetts,227
St. Louis Blues,Missouri,223
Tampa Bay Lightning,Florida,243
Colorado Avalanche,Colorado,236
Washington Capitals,Washington D.C,236
Philadelphia Flyers,Pennsylvania,227
Pittsburgh Penguins,Pennsylvania,221
Vegas Golden Knights,Nevada,224
Edmonton Oilers,Canada,223
Dallas Stars,Texas,178
Carolina Hurricanes,North Carolina,217
Toronto Maple Leafs,Canada,237
Columbus Blue Jackets,Ohio,180
Winnipeg Jets,Canada,213
New York Islanders,New York,189
New York Rangers,New York,233
Calgary Flames,Canada,204
Vancouver Canucks,Canada,224
Nashville Predators,Tennessee,212
Florida Panthers,Florida,228
Minnesota Wild,Minnesota,218
Arizona Coyotes,Arizona,190
Chicago Blackhawks,Illinois,208
Montreal Canadiens,Canada,208
Buffalo Sabres,New York,193
New Jersey Devils,New Jersey,185
Anaheim Ducks,California,182
Los Angeles Kings,California,177
San Jose Sharks,California,180
Ottawa Senators,Canada,190
Detroit Red Wings,Michigan,142